time,parallelism,variable,value
53,5,storm-mc,8232.6
54,5,storm-mc,6854.8
55,5,storm-mc,7995.05
56,5,storm-mc,8342.2
57,5,storm-mc,6927.5
58,5,storm-mc,8591.25
59,5,storm-mc,8037.65
60,5,storm-mc,8101.3
61,5,storm-mc,8131.8
62,5,storm-mc,5260.35
63,5,storm-mc,7411.25
64,5,storm-mc,8142.8
65,5,storm-mc,9227.05
66,5,storm-mc,8550.4
67,5,storm-mc,8096.55
68,5,storm-mc,8960.05
69,5,storm-mc,8801.55
70,5,storm-mc,8364.1
71,5,storm-mc,7891.05
72,5,storm-mc,8503.65
73,5,storm-mc,8957.85
74,5,storm-mc,7930.7
1,6,storm,2108.5
2,6,storm,4787.583333333333
3,6,storm,4536.666666666667
4,6,storm,3626.0416666666665
5,6,storm,4386.75
6,6,storm,5276.625
7,6,storm,5267.583333333333
8,6,storm,4876.0
9,6,storm,4517.666666666667
10,6,storm,4179.5
11,6,storm,3899.625
12,6,storm,3061.875
13,6,storm,2961.3333333333335
14,6,storm,3363.0833333333335
15,6,storm,4658.666666666667
16,6,storm,5104.125
17,6,storm,4318.25
18,6,storm,4358.125
19,6,storm,4526.458333333333
20,6,storm,4413.125
21,6,storm,4041.7916666666665
22,6,storm,3364.9583333333335
23,6,storm,3974.0833333333335
24,6,storm,4875.291666666667
25,6,storm,4054.3333333333335
26,6,storm,4438.125
27,6,storm,4069.625
28,6,storm,4567.916666666667
29,6,storm,4270.5
30,6,storm,3605.75
31,6,storm,3179.3333333333335
32,6,storm,3596.6666666666665
33,6,storm,4018.5
34,6,storm,4122.041666666667
35,6,storm,3635.375
36,6,storm,4950.375
37,6,storm,4070.5416666666665
38,6,storm,4336.25
39,6,storm,3578.8333333333335
40,6,storm,3077.4166666666665
41,6,storm,3487.25
42,6,storm,3767.4166666666665
43,6,storm,4200.375
44,6,storm,4046.4583333333335
45,6,storm,4841.125
46,6,storm,4692.0
47,6,storm,3547.5833333333335
48,6,storm,4203.333333333333
49,6,storm,3419.4166666666665
50,6,storm,3976.3333333333335
51,6,storm,3207.125
52,6,storm,3482.3333333333335
53,6,storm,4391.083333333333
54,6,storm,4204.041666666667
55,6,storm,4748.625
56,6,storm,4510.291666666667
57,6,storm,3923.25
58,6,storm,3152.2916666666665
59,6,storm,3488.125
60,6,storm,3637.4166666666665
61,6,storm,3263.9166666666665
62,6,storm,3449.25
63,6,storm,3680.5833333333335
64,6,storm,4391.166666666667
65,6,storm,4782.0
66,6,storm,3843.0416666666665
67,6,storm,3980.6666666666665
68,6,storm,3792.6666666666665
69,6,storm,4132.625
70,6,storm,3932.2083333333335
71,6,storm,3401.0
72,6,storm,4120.5
73,6,storm,4532.5
74,6,storm,4307.125
75,6,storm,4686.5
1,6,storm-mc,4498.125
2,6,storm-mc,7181.375
3,6,storm-mc,9054.75
4,6,storm-mc,9819.0
5,6,storm-mc,7547.833333333333
6,6,storm-mc,9341.791666666666
7,6,storm-mc,8838.541666666666
8,6,storm-mc,7606.541666666667
9,6,storm-mc,7791.333333333333
10,6,storm-mc,8045.125
11,6,storm-mc,7491.208333333333
12,6,storm-mc,7661.791666666667
13,6,storm-mc,8640.166666666666
14,6,storm-mc,8114.5
15,6,storm-mc,8631.291666666666
16,6,storm-mc,8028.5
17,6,storm-mc,8224.25
18,6,storm-mc,6862.875
19,6,storm-mc,8346.541666666666
20,6,storm-mc,8107.125
21,6,storm-mc,8791.291666666666
22,6,storm-mc,7883.916666666667
23,6,storm-mc,7277.208333333333
24,6,storm-mc,8146.833333333333
25,6,storm-mc,9786.25
26,6,storm-mc,7655.875
27,6,storm-mc,9076.083333333334
28,6,storm-mc,8674.625
29,6,storm-mc,7451.875
30,6,storm-mc,8028.875
31,6,storm-mc,7935.166666666667
32,6,storm-mc,8374.958333333334
33,6,storm-mc,7503.333333333333
34,6,storm-mc,8611.125
35,6,storm-mc,8449.041666666666
36,6,storm-mc,7240.5
37,6,storm-mc,8429.916666666666
38,6,storm-mc,7979.916666666667
39,6,storm-mc,7140.125
40,6,storm-mc,8292.0
41,6,storm-mc,7858.833333333333
42,6,storm-mc,7185.25
43,6,storm-mc,7835.625
44,6,storm-mc,8080.041666666667
45,6,storm-mc,7092.916666666667
46,6,storm-mc,7164.291666666667
47,6,storm-mc,7501.375
48,6,storm-mc,7345.041666666667
49,6,storm-mc,7256.791666666667
50,6,storm-mc,7248.125
51,6,storm-mc,8104.083333333333
52,6,storm-mc,7882.833333333333
53,6,storm-mc,8167.958333333333
54,6,storm-mc,7469.0
55,6,storm-mc,6875.875
56,6,storm-mc,6936.0
57,6,storm-mc,7023.375
58,6,storm-mc,7387.708333333333
59,6,storm-mc,7539.083333333333
60,6,storm-mc,6896.875
61,6,storm-mc,8630.375
62,6,storm-mc,8661.083333333334
63,6,storm-mc,7658.25
64,6,storm-mc,8061.083333333333
65,6,storm-mc,8694.666666666666
66,6,storm-mc,7837.416666666667
67,6,storm-mc,6218.291666666667
68,6,storm-mc,6797.75
69,6,storm-mc,8581.458333333334
70,6,storm-mc,6644.833333333333
71,6,storm-mc,7245.5
72,6,storm-mc,7651.791666666667
73,6,storm-mc,7334.208333333333
74,6,storm-mc,7350.708333333333
